Area,Median earning,Population_16+,Earning range,Count,Population_18+,BA/BS_18+
"Yolo County, California",66530,72489,"9,999 or less",1159,178433.0,68487.0
"Yuba County, California",60332,,"9,999 or less",,62561.0,9422.0
"Adams County, Colorado",60441,227444,"9,999 or less",3885,403764.0,109809.0
"Arapahoe County, Colorado",66698,267468,"9,999 or less",3502,510233.0,220549.0
"Boulder County, Colorado",76533,118051,"9,999 or less",2198,271274.0,151215.0
"Broomfield County, Colorado",75683,32082,"9,999 or less",165,61357.0,34340.0
"Denver County, Colorado",75452,330023,"9,999 or less",2393,589708.0,321857.0
"Douglas County, Colorado",92868,161105,"9,999 or less",1559,296166.0,171194.0
"El Paso County, Colorado",61301,292566,"9,999 or less",3838,574277.0,230364.0
"Jefferson County, Colorado",74965,240621,"9,999 or less",4156,472688.0,234767.0
"Larimer County, Colorado",64039,135841,"9,999 or less",1230,304160.0,140263.0
"Mesa County, Colorado",54902,49929,"9,999 or less",652,127570.0,38334.0
"Pueblo County, Colorado",53796,56655,"9,999 or less",361,133194.0,29732.0
"Weld County, Colorado",61457,138117,"9,999 or less",1653,268663.0,82782.0
"Capitol Planning Region, Connecticut",69999,365516,"9,999 or less",4335,780093.0,301225.0
"Greater Bridgeport Planning Region, Connecticut",71282,116648,"9,999 or less",2441,256228.0,101836.0
"Lower Connecticut River Valley Planning Region, Connecticut",77428,64380,"9,999 or less",762,147262.0,65172.0
"Naugatuck Valley Planning Region, Connecticut",65788,168016,"9,999 or less",2125,364229.0,114790.0
"Northeastern Connecticut Planning Region, Connecticut",66890,39495,"9,999 or less",171,79122.0,21931.0
"Northwest Hills Planning Region, Connecticut",72347,41140,"9,999 or less",243,93426.0,36459.0
"South Central Connecticut Planning Region, Connecticut",67165,204089,"9,999 or less",2757,457945.0,180664.0
"Southeastern Connecticut Planning Region, Connecticut",66675,96475,"9,999 or less",1897,226481.0,79039.0
"Western Connecticut Planning Region, Connecticut",85496,234034,"9,999 or less",3335,489766.0,262556.0
"Kent County, Delaware",51366,69889,"9,999 or less",1260,146812.0,36499.0
"New Castle County, Delaware",65633,222086,"9,999 or less",3825,456334.0,171654.0
"Sussex County, Delaware",52662,83145,"9,999 or less",1131,216819.0,68170.0
"District of Columbia, District of Columbia",100747,309037,"9,999 or less",1668,552446.0,340541.0
"Alachua County, Florida",56687,94923,"9,999 or less",598,235265.0,98746.0
"Bay County, Florida",52901,68605,"9,999 or less",1078,150386.0,43757.0
"Brevard County, Florida",52345,218469,"9,999 or less",2787,528404.0,165994.0
"Broward County, Florida",51793,763241,"9,999 or less",10485,1559339.0,535837.0
"Charlotte County, Florida",55965,53205,"9,999 or less",1017,181767.0,48267.0
"Citrus County, Florida",47372,38210,"9,999 or less",707,141164.0,29794.0
"Clay County, Florida",54153,86171,"9,999 or less",788,180036.0,52786.0
"Collier County, Florida",51928,125113,"9,999 or less",1579,339492.0,128456.0
"Columbia County, Florida",45707,,"9,999 or less",,57739.0,8992.0
"Duval County, Florida",53139,393955,"9,999 or less",7436,801292.0,254098.0
"Escambia County, Florida",50681,113519,"9,999 or less",2136,258559.0,75121.0
"Flagler County, Florida",51779,37477,"9,999 or less",927,110577.0,33848.0
"Hernando County, Florida",48666,63526,"9,999 or less",1322,173370.0,33866.0
"Highlands County, Florida",41650,25664,"9,999 or less",285,90148.0,19140.0
"Hillsborough County, Florida",55699,589416,"9,999 or less",7331,1206195.0,423910.0
"Indian River County, Florida",52115,47508,"9,999 or less",610,144623.0,45716.0
"Lake County, Florida",51200,136129,"9,999 or less",1234,344020.0,100005.0
"Lee County, Florida",50876,262080,"9,999 or less",5886,692259.0,205632.0
"Leon County, Florida",51137,105148,"9,999 or less",1784,242471.0,95992.0
"Manatee County, Florida",54692,138730,"9,999 or less",1626,365229.0,133159.0
"Marion County, Florida",44220,119891,"9,999 or less",1885,333260.0,70967.0
"Martin County, Florida",55625,49968,"9,999 or less",890,137540.0,54069.0
"Miami-Dade County, Florida",49230,1079618,"9,999 or less",19354,2154325.0,720851.0
"Monroe County, Florida",51880,29769,"9,999 or less",308,67726.0,24475.0
"Nassau County, Florida",56297,34416,"9,999 or less",682,82027.0,29270.0
"Okaloosa County, Florida",57304,79818,"9,999 or less",757,169247.0,55169.0
"Orange County, Florida",52401,573807,"9,999 or less",8868,1160897.0,429143.0
"Osceola County, Florida",46625,168722,"9,999 or less",3958,333825.0,98159.0
"Palm Beach County, Florida",56731,533118,"9,999 or less",8403,1247725.0,490798.0
"Pasco County, Florida",55057,215662,"9,999 or less",3290,504910.0,143715.0
"Pinellas County, Florida",54612,354403,"9,999 or less",7852,816291.0,289129.0
"Polk County, Florida",48398,281783,"9,999 or less",5451,638482.0,156508.0
"Putnam County, Florida",49940,,"9,999 or less",,59956.0,9353.0
